t,x,y,z
0.043952,0.684,-0.312,0.632
0.094,0.664,-0.306,0.644
0.143856,0.67,-0.306,0.64
0.193904,0.704,-0.304,0.616
0.243952,0.71,-0.304,0.59
0.294,0.696,-0.296,0.608
0.343856,0.674,-0.304,0.628
0.393904,0.678,-0.306,0.622
0.443952,0.688,-0.3,0.61
0.494,0.706,-0.312,0.61
0.543856,0.688,-0.316,0.61
0.593904,0.708,-0.29,0.626
0.643952,0.704,-0.294,0.602
0.694,0.7,-0.312,0.61
0.744856,0.704,-0.294,0.616
0.794904,0.702,-0.302,0.606
0.844952,0.696,-0.304,0.61
0.895,0.7,-0.304,0.608
0.944856,0.688,-0.29,0.616
0.994904,0.7,-0.3,0.61
1.044952,0.696,-0.288,0.6
1.095,0.696,-0.3,0.612
1.144856,0.704,-0.288,0.608
1.194904,0.696,-0.29,0.61
1.244952,0.704,-0.294,0.61
1.295,0.706,-0.294,0.616
1.344856,0.696,-0.28,0.612
1.394904,0.704,-0.28,0.61
1.444952,0.702,-0.284,0.61
1.495,0.71,-0.286,0.622
1.544856,0.718,-0.27,0.61
1.594904,0.71,-0.286,0.612
1.644952,0.72,-0.294,0.602
1.695,0.706,-0.294,0.606
1.745856,0.704,-0.294,0.602
1.795904,0.71,-0.294,0.602
1.845952,0.712,-0.3,0.602
1.896,0.704,-0.296,0.602
1.945856,0.7,-0.284,0.602
1.995904,0.71,-0.294,0.604
2.045952,0.704,-0.294,0.596
2.096,0.71,-0.288,0.61
2.145856,0.688,-0.286,0.606
2.195904,0.708,-0.294,0.608
2.245952,0.704,-0.292,0.612
2.296,0.704,-0.284,0.616
2.345856,0.71,-0.304,0.612
2.395904,0.71,-0.3,0.612
2.445952,0.71,-0.296,0.606
2.496,0.672,-0.286,0.602
2.545856,0.706,-0.294,0.602
2.595904,0.706,-0.304,0.618
2.645952,0.704,-0.294,0.61
2.696,0.706,-0.3,0.612
2.746856,0.704,-0.3,0.608
2.796904,0.712,-0.29,0.612
2.846952,0.696,-0.296,0.602
2.897,0.704,-0.3,0.622
2.946856,0.694,-0.28,0.608
2.996904,0.696,-0.284,0.606
3.046952,0.678,-0.284,0.616
3.097,0.638,-0.272,0.648
3.146856,0.668,-0.24,0.638
3.196904,0.672,-0.258,0.68
3.246952,0.648,-0.268,0.706
3.297,0.652,-0.284,0.72
3.346856,0.624,-0.248,0.74
3.396904,0.6,-0.188,0.784
3.446952,0.642,-0.156,0.784
3.497,0.642,-0.12,0.778
3.546856,0.688,-0.112,0.754
3.596904,0.652,-0.078,0.698
3.646952,0.716,-0.048,0.656
3.697,0.68,-0.062,0.592
3.746856,0.646,-0.112,0.528
3.796904,0.72,-0.158,0.51
3.846952,0.694,-0.208,0.52
3.897,0.492,-0.518,0.714
3.947856,0.68,-0.534,0.962
3.997904,0.572,-0.382,0.8
4.047952,0.642,-0.358,0.824
4.098,0.478,-0.364,0.686
4.147856,0.418,-0.334,0.58
4.197904,0.472,-0.276,0.592
4.247952,0.472,-0.248,0.638
4.298,0.414,-0.294,0.774
4.347856,0.414,-0.358,0.9
4.397904,0.414,-0.312,0.994
4.447952,0.286,-0.22,1.154
4.498,0.542,0.194,1.21
4.547856,0.47,0.128,0.744
4.597904,0.414,0.186,0.68
4.647952,0.568,0.252,0.672
4.698,0.46,0.3,0.76
4.747856,0.322,0.272,0.842
4.797904,0.47,0.192,0.894
4.847952,0.542,0.208,0.872
4.898,0.636,0.098,0.866
4.948856,0.558,-0.07,1.104
4.998904,0.262,0.016,0.922
5.048952,0.544,-0.088,0.666
5.099,0.546,-0.248,0.686
5.148856,0.624,-0.232,0.738
5.198904,0.59,-0.224,0.56
5.248952,0.572,-0.338,0.5
5.299,0.67,-0.456,0.61
5.348856,0.848,-0.462,0.8
5.398904,0.956,-0.3,1.018
5.448952,0.74,-0.188,1.016
5.499,0.792,-0.272,1.012
5.548856,0.422,-0.126,0.948
5.598904,0.414,0.106,0.474
5.648952,0.498,0.104,0.302
5.699,0.88,0.426,0.17
5.748856,1.032,0.514,0.048
5.798904,0.56,0.392,0.36
5.848952,0.684,-0.054,0.464
5.899,0.696,-0.624,0.592
5.949856,0.872,-0.808,0.72
5.999904,0.846,-0.67,0.526
6.049952,0.696,-0.482,0.456
6.1,0.942,-0.632,0.186
6.149856,0.636,-0.576,0.122
6.199904,0.748,-0.626,0.354
6.249952,0.688,-0.688,0.444
6.3,0.566,-0.264,0.568
6.349856,0.718,-0.184,0.378
6.399904,1.528,-0.328,0.474
6.449952,0.67,-0.576,0.602
6.5,0.848,-0.438,0.458
6.549856,0.928,0.034,0.34
6.599904,0.956,0.05,0.312
6.649952,1.058,-0.062,0.292
6.7,0.824,-0.098,0.298
6.749856,0.718,-0.032,0.266
6.799904,0.998,0.008,0.336
6.849952,0.86,-0.1,0.408
6.9,0.706,-0.27,0.45
6.950856,0.636,-0.248,0.482
7.000904,0.998,-0.112,0.538
7.050952,1.122,-0.064,0.504
7.101,1.066,-0.12,0.356
7.150856,0.716,-0.318,0.36
7.200904,0.734,-0.388,0.452
7.250952,0.816,-0.294,0.324
7.301,0.83,-0.28,0.19
7.350856,0.71,-0.242,0.09
7.400904,0.898,-0.254,-0.076
7.450952,0.95,-0.196,0.08
7.501,1.014,-0.36,0.312
7.550856,0.936,-0.466,0.386
7.600904,0.84,-0.374,0.318
7.650952,0.908,-0.332,0.208
7.701,0.94,-0.312,0.172
7.750856,0.96,-0.302,0.164
7.800904,0.95,-0.304,0.21
7.850952,0.936,-0.302,0.266
7.901,0.926,-0.312,0.298
7.951856,0.894,-0.326,0.286
8.001904,0.8,-0.352,0.228
8.051952,0.862,-0.328,0.19
8.102,0.898,-0.304,0.21
8.151856,0.92,-0.304,0.218
8.201904,1.0,-0.332,0.232
8.251952,0.876,-0.296,0.264
8.302,0.862,-0.312,0.288
8.351856,0.87,-0.306,0.29
8.401904,0.926,-0.286,0.26
8.451952,0.926,-0.27,0.24
8.502,0.888,-0.242,0.292
8.551856,0.91,-0.232,0.288
8.601904,0.908,-0.268,0.288
8.651952,0.908,-0.286,0.296
8.702,0.902,-0.294,0.29
8.751856,0.908,-0.294,0.262
8.801904,0.888,-0.28,0.274
8.851952,0.902,-0.28,0.288
8.902,0.882,-0.254,0.288
8.951856,0.888,-0.27,0.276
9.001904,0.912,-0.288,0.25
9.051952,0.908,-0.294,0.228
9.102,0.824,-0.296,0.232
9.152856,0.992,-0.318,0.286
9.202904,0.866,-0.242,0.286
9.252952,0.846,-0.28,0.28
9.303,0.92,-0.28,0.25
9.352856,0.902,-0.284,0.264
9.402904,0.902,-0.294,0.25
9.452952,0.894,-0.31,0.234
9.503,0.908,-0.308,0.25
9.552856,0.902,-0.29,0.26
9.602904,0.888,-0.3,0.256
9.652952,0.888,-0.304,0.25
9.703,0.904,-0.296,0.26
9.752856,0.892,-0.3,0.27
9.802904,0.896,-0.294,0.26
9.852952,0.902,-0.288,0.26
9.903,0.9,-0.286,0.28
9.952856,0.882,-0.29,0.276
10.002904,0.91,-0.294,0.274
10.052952,0.898,-0.284,0.27
10.103,0.896,-0.29,0.272
10.153856,0.872,-0.28,0.286
10.203904,0.892,-0.27,0.27
10.253952,0.91,-0.284,0.248
10.304,0.878,-0.308,0.218
10.353856,0.926,-0.312,0.18
10.403904,0.99,-0.326,0.148
10.453952,0.94,-0.3,0.184
10.504,0.908,-0.28,0.24
10.553856,0.896,-0.232,0.27
10.603904,0.894,-0.206,0.27
10.653952,0.908,-0.206,0.286
10.704,0.902,-0.232,0.314
10.753856,0.896,-0.238,0.322
10.803904,0.896,-0.264,0.298
10.853952,0.894,-0.232,0.288
10.904,0.904,-0.232,0.272
10.953856,0.908,-0.232,0.302
11.003904,0.908,-0.248,0.276
11.053952,0.91,-0.254,0.272
11.104,0.902,-0.254,0.25
11.154856,0.908,-0.238,0.254
11.204904,0.908,-0.24,0.244
11.254952,0.908,-0.254,0.248
11.305,0.924,-0.27,0.25
11.354856,0.92,-0.252,0.238
11.404904,0.926,-0.254,0.238
11.454952,0.918,-0.248,0.228
11.505,0.91,-0.252,0.244
11.554856,0.908,-0.248,0.242
11.604904,0.918,-0.254,0.244
11.654952,0.912,-0.264,0.242
11.705,0.92,-0.232,0.228
11.754856,0.904,-0.262,0.226
11.804904,0.91,-0.248,0.238
11.854952,0.91,-0.24,0.248
11.905,0.91,-0.264,0.238
11.954856,0.924,-0.248,0.242
12.004904,0.912,-0.262,0.25
12.054952,0.91,-0.264,0.238
12.105,0.904,-0.252,0.25
12.155856,0.918,-0.254,0.25
12.205904,0.918,-0.242,0.244
12.255952,0.914,-0.262,0.242
12.306,0.918,-0.248,0.242
12.355856,0.92,-0.246,0.242
12.405904,0.896,-0.248,0.254
12.455952,0.91,-0.254,0.24
12.506,0.902,-0.254,0.242
12.555856,0.912,-0.262,0.258
12.605904,0.92,-0.24,0.244
12.655952,0.914,-0.244,0.242
12.706,0.916,-0.254,0.254
12.755856,0.918,-0.246,0.264
12.805904,0.908,-0.24,0.254
12.855952,0.914,-0.24,0.254
12.906,0.91,-0.24,0.244
12.955856,0.904,-0.258,0.25
13.005904,0.91,-0.244,0.254
13.055952,0.9,-0.248,0.25
13.106,0.92,-0.246,0.26
13.156856,0.898,-0.248,0.264
13.206904,0.91,-0.262,0.27
13.256952,0.908,-0.242,0.258
13.307,0.91,-0.258,0.264
13.356856,0.91,-0.242,0.25
13.406904,0.92,-0.24,0.258
13.456952,0.902,-0.248,0.272
13.507,0.912,-0.27,0.252
13.556856,0.908,-0.262,0.258
13.606904,0.91,-0.248,0.264
13.656952,0.91,-0.24,0.24
13.707,0.91,-0.248,0.25
13.756856,0.902,-0.248,0.25
13.806904,0.91,-0.262,0.254
13.856952,0.912,-0.274,0.258
13.907,0.906,-0.28,0.258
13.956856,0.918,-0.258,0.242
14.006904,0.91,-0.27,0.254
14.056952,0.92,-0.27,0.248
14.107,0.912,-0.272,0.25
14.156856,0.91,-0.254,0.242
14.206904,0.898,-0.262,0.25
14.256952,0.902,-0.264,0.242
14.307,0.91,-0.278,0.26
14.557856,0.926,-0.224,0.256
14.607904,0.904,-0.286,0.248
14.657952,0.86,-0.248,0.25
14.708,0.912,-0.27,0.25
14.757856,0.92,-0.28,0.26
14.807904,0.918,-0.28,0.264
14.857952,0.908,-0.286,0.244
14.908,0.894,-0.286,0.264
14.957856,0.902,-0.284,0.25
15.007904,0.896,-0.276,0.248
15.057952,0.912,-0.274,0.242
15.108,0.91,-0.28,0.242
15.157856,0.912,-0.278,0.248
15.207904,0.902,-0.268,0.254
15.257952,0.902,-0.294,0.25
15.308,0.908,-0.276,0.258
15.357856,0.898,-0.278,0.242
15.407904,0.912,-0.28,0.25
15.457952,0.904,-0.284,0.254
15.508,0.908,-0.28,0.24
15.558856,0.896,-0.268,0.256
15.608904,0.91,-0.28,0.238
15.658952,0.892,-0.284,0.244
15.709,0.902,-0.286,0.244
15.758856,0.91,-0.27,0.242
15.808904,0.912,-0.264,0.25
15.858952,0.902,-0.284,0.25
15.909,0.902,-0.28,0.244
15.958856,0.896,-0.264,0.242
16.008904,0.912,-0.27,0.248
16.058952,0.92,-0.278,0.256
16.109,0.924,-0.268,0.25
16.158856,0.918,-0.27,0.264
16.208904,0.896,-0.248,0.288
16.258952,0.91,-0.274,0.296
16.309,0.896,-0.254,0.298
16.358856,0.87,-0.248,0.292
16.408904,0.864,-0.252,0.298
16.458952,0.84,-0.24,0.32
16.509,0.902,-0.236,0.296
16.559856,0.892,-0.254,0.274
